Cause,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Respiratory infections,3415941.251,3387085.897,3354598.739,3316736.933,3269525.527,3228872.229,3174942.504,3137364.244,3090783.064,3031894.116,2976685.133,2914161.52,2861260.276,2818023.759,2766652.546,2735776.734,2700150.775,2673539.719,2657274.865,2639561.697,2623649.325,2616651.133,2605153.543,2590482.267,2579537.75,2582198.939,2574625.102,2558606.074
Cardiovascular diseases,11941533.32,12118293.12,12337835.94,12699753.54,12929774.85,13041558.9,13085432.7,13178040.42,13281787.72,13499184.4,13698711.84,13870332.32,14150328.1,14396608.97,14404858.49,14607808.95,14551012.89,14687670.81,15008284.23,15274314.39,15619617.48,15859735.27,16115488.92,16284022.18,16628359.2,17139990.07,17524369.77,17790948.9
Chronic respiratory,3317205.122,3378940.907,3438690.502,3485854.599,3522353.911,3543249.021,3568727.372,3618802.41,3646099.516,3608996.18,3588978.02,3562842.165,3550457.67,3532600.47,3457417.143,3415929.274,3375284.751,3380896.025,3419368.869,3469692.942,3522114.241,3550904.878,3555092.506,3570845.129,3638293.678,3739117.541,3826620.275,3914196.03
Digestive diseases,1714979.055,1747087.043,1777129.701,1803458.913,1824966.185,1845053.171,1856866.876,1874412.452,1888826.942,1904721.087,1921459.954,1940058.246,1961517.385,1983984.125,1998199.893,2025280.715,2042343.783,2061953.864,2089797.861,2111719.567,2135809.687,2158948.212,2181850.048,2205206.368,2242740.945,2288953.458,2335479.621,2377684.942
Hepatitis,146879.9495,148436.5491,149500.5198,150109.3036,149698.9743,149628.1924,148450.1404,149210.9123,149290.3281,148988.1313,148876.7451,148690.7787,147218.8089,145333.5079,145059.1565,146902.4281,142575.141,140152.7448,139418.3016,137789.7949,137075.6426,136180.9827,134719.7381,131795.2255,129254.8945,127011.0679,126754.0247,126390.5911
Parkinson disease,147985.4221,152390.5789,156575.2961,161748.0616,166100.0182,170684.5757,175021.3286,180029.1635,185697.6684,191729.0076,197892.2952,204712.1483,212609.2529,220546.1514,225252.4087,232509.9283,238285.3601,246216.7409,256201.6033,266001.7265,275884.2709,285104.923,293549.4909,300878.4588,310499.4768,322526.6563,332506.4624,340639.1678
Fire,146482.6947,147103.2468,148241.4695,149954.8553,150822.9124,149394.9732,146318.2643,145368.918,142740.3057,143265.7496,143432.5526,141777.3707,140120.5893,139501.1017,136694.4194,136243.9496,132821.1508,131027.6267,129844.0875,128564.7961,127876.5892,126281.9753,124807.0622,123173.4621,121853.9267,121676.378,121392.0957,120631.9721
Malaria,672540.2192,693010.7272,711554.7789,729753.5148,743160.5853,761633.549,777027.377,797105.3571,816746.9318,834704.2559,851796.8355,885067.7554,911240.3889,934058.1662,934553.2222,927117.1517,909906.4982,895535.8458,874093.801,831489.3344,788445.0315,755546.4045,725678.3041,710116.0138,695007.5363,662165.9946,625834.4801,619826.6347
Drowning ,531956.0291,531081.8365,531759.7796,533767.2669,530348.5451,524007.0155,509799.5724,497630.2782,484088.1371,469527.0274,456990.4564,439354.5235,417527.9557,397139.2081,388832.7558,381166.9389,365641.6004,356387.4263,351864.6643,345936.3515,340727.7205,334093.5276,328373.6887,320294.6811,312887.4989,307845.1814,303335.017,295210.4254
violence,353134.7885,364816.8907,387322.1452,418473.2787,422459.4852,425987.083,421337.3869,420279.7449,423723.3064,433530.1412,444118.7519,439121.8744,446675.2766,430600.5141,424951.4624,419246.2998,412236.0649,403383.4172,406817.0226,407415.0328,409123.0474,405563.4643,407886.3342,402497.0214,397393.2373,399740.7601,394940.5973,405346.2409
HIV/AIDS,348599.5653,442148.1839,548500.0712,664115.7573,787138.1587,913327.4605,1028065.978,1134822.231,1260347.859,1398342.878,1534878.096,1647049.807,1752835.294,1844993.674,1910178.171,1948779.287,1953141.269,1919733.143,1846161.894,1762777.762,1653323.874,1535582.325,1416898.607,1300347.219,1202192.57,1121361.994,1041797.9,954491.7472
Tuberculosis,1607709.113,1611302.204,1624707.567,1621321.928,1618872.448,1610794.183,1601427.477,1618969.452,1623417.886,1617651.986,1615142.916,1590690.054,1563440.131,1526150.429,1478036.266,1454475.416,1419890.376,1390563.671,1369508.361,1344136.835,1317584.934,1293092.603,1265602.131,1243289.523,1225655.486,1211338.085,1200508.385,1183672.09
Road injuries,1150716.695,1163123.834,1185205.01,1207598.112,1228685.03,1245447.436,1246354.796,1252159.765,1256549.329,1271619.901,1282553.265,1276394.252,1276378.902,1269859.829,1274468.427,1284406.701,1278964.623,1284048.36,1295450.639,1299797.26,1299938.523,1294560.606,1288487.029,1268582.182,1263051.645,1254514.328,1252392.235,1243067.728
Alcohol use,112572.7454,119213.0442,131138.9351,149117.9089,162614.0416,163993.9768,159359.6758,154948.6442,154968.7993,162104.3862,169032.8108,173709.1699,179430.4569,184025.5739,185851.7594,190843.5755,183932.6693,180030.8388,179987.0132,175052.8644,174237.3783,170736.6692,169930.0319,170965.2477,173684.6985,178372.486,181679.0945,184934.2418
Diarrheal diseases,2578291.692,2559317.544,2510532.05,2463313.118,2415807.521,2366170.883,2303104.288,2259534.046,2222649.772,2175624.172,2132157.484,2080393.698,2030303.707,1983870.585,1946119.766,1919760.043,1905243.545,1882353.306,1867835.596,1865671.033,1857640.02,1793640.91,1725017.626,1664193.009,1619718.293,1578438.909,1550848.404,1569555.871
Nutritional deficiencies,568075.207,560874.2884,551576.9931,541168.1287,534084.2341,601954.4023,583423.3025,570175.1478,556440.4534,543702.5381,534575.2999,516800.0547,499175.4492,404096.6735,389315.03,376380.6851,365215.6721,354626.136,345703.368,338690.9815,341835.0277,329818.0685,309650.9537,298365.543,289184.8451,282498.0119,274881.0274,269996.9177
Suicide,758518.9891,777951.181,806203.833,832531.9554,851480.6455,859246.6312,847744.5626,842011.6487,838271.9523,841716.3692,832890.7557,806619.371,794114.3007,795231.9819,797239.1581,805645.3042,791824.8054,785135.9029,789447.0071,791222.7576,796083.6452,793977.9061,786335.5549,779212.5498,781716.6972,782941.1629,788674.5648,793823.4691
Diabetes mellitus,607428.0375,626893.2918,649180.8501,674464.3255,697427.5108,721517.4501,746744.2228,774957.6344,800794.9096,825878.0549,851459.9774,877081.5754,908639.0138,938810.497,955389.5025,983173.0759,997947.3261,1016711.011,1045381.392,1070186.049,1096401.653,1129958.721,1168568.723,1202742.765,1249134.822,1299555.869,1346427.734,1369848.959
Alzheimer,1022007.024,1059652.193,1094414.443,1134179.139,1168609.64,1203911.038,1235769.502,1268597.761,1305068.897,1344743.074,1382558.187,1424449.284,1472212.537,1520602.641,1557595.534,1611703.526,1660257.994,1719635.423,1790400.261,1863443.987,1943960.548,2025064.453,2098870.936,2168918.276,2253865.912,2353633.71,2440042.154,2514618.901
Chronic kidney,613746.3778,625366.1004,641468.7381,655651.7008,669061.0049,683229.7476,698048.3499,718767.7099,738604.3251,757592.8794,777533.08,794781.9923,816350.6768,838402.8164,851300.4545,876694.0456,895590.4892,919877.6937,952855.2651,986668.2338,1019564.657,1052780.019,1082857.097,1112929.294,1147229.45,1185371.785,1216962.894,1230168.046
